record_id,complaint_num,pdf_filename,pdf_url,block_position,offense,date,location,lat,long,zone_id,zone_name,year,month,day,date_str
6096,19-4489,24_hour_summary_report_08_aug_2019.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2019/24_hour_summary_report_08_aug_2019.pdf,0,BURGLARY TO MOTOR VEHICLE,2019-08-07,800 BLOCK OF WASHINGTON,41.881373,-87.8056109,,,2019,8,7,2019-08-07
6097,19-02675,24_hour_summary_report_24_may_2019.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2019/24_hour_summary_report_24_may_2019.pdf,4,THEFT OF MOTOR VEHICLE,2019-05-23,0 - 100 BLOCK OF CHICAGO,41.8948589,-87.7787318,1,Zone 1,2019,5,23,2019-05-23
6098,19-01107,24_hour_summary_report_05_mar_2019.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2019/24_hour_summary_report_05_mar_2019.pdf,3,THEFT,2019-03-04,600 BLOCK OF S. SCOVILLE,41.8779107,-87.7877894,6,Zone 6,2019,3,4,2019-03-04
6099,18-5347,24_hour_summary_report_23aug_2018.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2018/24_hour_summary_report_23aug_2018.pdf,3,BURGLARY FROM MOTOR VEHICLE,2018-08-21,500 BLOCK OF FAIR OAKS AVE,41.894698,-87.7877992,2,Zone 2,2018,8,21,2018-08-21
6100,18-0203818020421802043,24_hour_summary_report_17jul_2018.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2018/24_hour_summary_report_17jul_2018.pdf,2,BURGLARY ARREST (X3),2018-04-08,700 BLOCK OF WEST LAKE ST. 700 BLOCK OF WEST LAKE ST. 700 BLOCK OF WEST LAKE ST.,41.8885831,-87.7926956,3,Zone 3,2018,4,8,2018-04-08
6101,18-0322,24_hour_summary_report_17_january_2018.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2018/24_hour_summary_report_17_january_2018.pdf,4,THEFT,2018-01-10,500 BLOCK S. AUSTIN BLVD.,41.8735751,-87.77478099999999,6,Zone 6,2018,1,10,2018-01-10
6102,26-00619,summary-report-03-february-2026.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2026/02-february/summary-report-03-february-2026.pdf,5,DOMESTIC BATTERY ARREST,2026-02-02,200 BLOCK OF S. MAPLE,41.884922,-87.803603,5,Zone 5,2026,2,2,2026-02-02
6103,25-03636,summary-report-10-11-july.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2025/07-july/summary-report-10-11-july.pdf,4,THEFT OF MOTOR VEHICLE PARTS,2025-07-10,300 BLOCK OF N. GROVE AVE.,41.8915239,-87.79573700000002,3,Zone 3,2025,7,10,2025-07-10
6104,25-04585,summary-report-28-february-2025.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2025/02-february/summary-report-28-february-2025.pdf,3,RECOVERED STOLEN MOTOR VEHICLE,2025-02-27,"2300 BLOCK OF N. 17TH ST., MILWAUKEE, WI.",43.0604451,-87.9338807,,,2025,2,27,2025-02-27
6105,24-07318,summary_report_06december2024.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2024/summary_report_06december2024.pdf,1,BURGLARY - MOTOR VEHICLE,2024-11-25,700 BLOCK OF S. TAYLOR,41.8762519,-87.7779264,6,Zone 6,2024,11,25,2024-11-25
6106,24-07256,weekend_summary_report_29november2024_-_02december2024.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2024/weekend_summary_report_29november2024_-_02december2024.pdf,6,THEFT,2024-12-01,600 BLOCK OF N. RIDGELAND,41.89668289999999,-87.7845861,1,Zone 1,2024,12,1,2024-12-01
6107,24-06966,weekend_summary_report_15november2024_-_18november2024.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2024/weekend_summary_report_15november2024_-_18november2024.pdf,9,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,2024-11-16,1200 BLOCK OF N. LOMBARD,41.9074763,-87.7807655,1,Zone 1,2024,11,16,2024-11-16
6108,24-05692,weekend_summary_report_20september_-_24september2024.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2024/weekend_summary_report_20september_-_24september2024.pdf,26,TRAFFIC / WARRANT ARREST,2024-09-23,400 BLOCK OF N. RIDGELAND,41.8930946,-87.7848336,3,Zone 3,2024,9,23,2024-09-23
6109,24-04330,weekend_summary_report_26july_-_29july2024.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2024/weekend_summary_report_26july_-_29july2024.pdf,11,THEFT,2024-07-24,1100 BLOCK OF NORTH BLVD,41.8873109,-87.8014462,3,Zone 3,2024,7,24,2024-07-24
6110,24-01665,summary_report_28-march-2024.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2024/summary_report_28-march-2024.pdf,0,BURGLARY TO MOTOR VEHICLE,2024-03-27,0 - 100 BLOCK OF WASHINGTON,41.881373,-87.8056109,,,2024,3,27,2024-03-27
6111,23-05885,summary-report-19-september-2023-v2.pdf,https://www.oak-park.us/files/assets/oakpark/v/2/police-department/activity-reports/2023/summary-report-19-september-2023-v2.pdf,1,BURGLARY TO MOTOR VEHICLE,2023-09-18,1100 BLOCK OF THOMAS,41.8997292,-87.8039227,2,Zone 2,2023,9,18,2023-09-18
6112,23-05710,summary_report_13-september-2023.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2023/summary_report_13-september-2023.pdf,1,BURGLARY TO MOTOR VEHICLE,2023-09-11,900 BLOCK OF WASHINGTON,41.881373,-87.8056109,,,2023,9,11,2023-09-11
6113,23-04983,summary_report_14-aug-2023.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2023/summary_report_14-aug-2023.pdf,4,CRIMINAL DAMAGE TO MOTOR VEHICLE,2023-08-12,1100 BLOCK OF WESTGATE,41.8878825,-87.80412779999999,3,Zone 3,2023,8,12,2023-08-12
6114,23-04576,summary_report_26-july-2023.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2023/summary_report_26-july-2023.pdf,3,CRIMINAL TRESPASS TO PROPERTY ARREST,2023-07-25,200 BLOCK OF CHICAGO,41.8948539,-87.7802351,1,Zone 1,2023,7,25,2023-07-25
6115,23-03604,summary_report_19-jun-2023.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2023/summary_report_19-jun-2023.pdf,3,THEFT,2023-06-15,400 BLOCK OF SOUTH ELMWOOD AVE.,41.881376,-87.78587999999999,4,Zone 4,2023,6,15,2023-06-15
6116,23-02743,summary_report_10-may-2023.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2023/summary_report_10-may-2023.pdf,3,DOMESTIC BATTERY ARREST,2023-05-09,1100 BLOCK OF HARRISON ST.,41.87369289999999,-87.8020799,5,Zone 5,2023,5,9,2023-05-09
6117,23-02565,summary_report_03-may-2023.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2023/summary_report_03-may-2023.pdf,4,DOMESTIC BATTERY ARREST,2023-05-02,1000 BLOCK OF LAKE ST.,41.8890198,-87.8004926,3,Zone 3,2023,5,2,2023-05-02
6118,23-01062,summary_report_23-feb-2023.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2023/summary_report_23-feb-2023.pdf,1,THEFT,2023-02-22,7100 BLOCK OF NORTH AVE. (ORANGE THEORY FITNESS),41.9092588,-87.8021572,2,Zone 2,2023,2,22,2023-02-22
6119,22-07743,summary_17-dec-2022.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2022/summary_17-dec-2022.pdf,0,THEFT,2022-12-15,200 BLOCK OF SOUTH ELMWOOD AVE.,41.8850212,-87.7858444,4,Zone 4,2022,12,15,2022-12-15
6120,22-07699,summary_14-dec-2022.pdf,https://www.oak-park.us/files/assets/oakpark/v/1/police-department/activity-reports/2022/summary_14-dec-2022.pdf,2,THEFT,2022-12-13,600 BLOCK OF SOUTH ELMWOOD AVE.,41.8779484,-87.785316,6,Zone 6,2022,12,13,2022-12-13
